background,objective,reference
"Phonological errors were scarce in both groups. Many business customers today consolidate their supply bases and implement preferred supplier programs. Consequently, vendors increasingly face the alternative of either gaining a key supplier status with their customers or being pushed into the role of a backup supplier. As product and price become less important differentiators, suppliers of routinely purchased products search for new ways to differentiate themselves in a buyer-seller relationship. At present, all models assume cascading of information (i.e. partial information from one level can be accessed by the next) from conceptual to lexico-semantic representations, as this allows multiple candidates to be activated for a particular target (Goldrick, 2006; Levelt et al., 1999); interactivity between other levels is still a topic of much debate (#CITATION_TAG; Rapp & Goldrick, 2000; Roelofs, 2004; Vigliocco & Hartsuiker, 2002).","The authors identify service support and personal interaction as core differentiators, followed by a supplier's know-how and its ability to improve a customer's time to market.",['This research investigates avenues for differentiation through value creation in business-to-business relationships.']
"Phonological errors were scarce in both groups. At present, all models assume cascading of information (i.e. partial information from one level can be accessed by the next) from conceptual to lexico-semantic representations, as this allows multiple candidates to be activated for a particular target (Goldrick, 2006; Levelt et al., 1999); interactivity between other levels is still a topic of much debate (Dell, 1986; Rapp & Goldrick, 2000; Roelofs, 2004; #CITATION_TAG).",,"['A discussion of modularity in language production processes, with special emphasis on processes for retrieving words and building syntactic structures for a to-be-uttered sentence, is presented.', ""The authors' 1st goal was to assess the extent to which information processing is encapsulated between different processing stages."", 'Their 2nd goal was to propose an altemative framework that does not assume strict encapsulation but that maintains multiple levels of integration for production.']"
"Phonological errors were scarce in both groups. ConclusionDavid Wilson (1995) has provided us with much grist for thought with his integrated framework for customer-supplier relationship development. Our models and empirical research ought to reflect this, but to date they largely have not. Understanding and actualizing value creation (and value sharing) are critical aspects of the market-sensing and customer-linking capabilities in market-driven organizations (Day 1994), yet the mechanisms underlying them and the methodologies for accurately assessing them remain largely unknown. Here, particularly for tool development research, it would seem to be an opportune time for business marketing academics and practitioners to form their own collaborative relationships for mutual gain. For example, closed class words are semantically 'shallow', having fewer semantic features than open class items, which could make them more vulnerable to damage within the semantic system or between semantics and word form representations (Allen & Seidenberg, 1999; #CITATION_TAG; Plaut & Shallice, 1993).",,"['In focusing on which constructs are ""active"" and therefore most meaningful at each stage, he has opened a new vista for research in this area.']"
"Phonological errors were scarce in both groups. This applies to frankly semantic tasks (like object naming), where typicality can be gauged by the extent to which an object or concept is characterized by shared features in its category. It also applies in tasks apparently requiring only access to a 'surface' representation (such as lexical decision) or translation from one surface representation to another (like reading words aloud), where typicality is defined in terms of the structure of the surface domain(s). what the patients still know is information that generalises to many different concepts (Patterson, 2007; #CITATION_TAG) -it seems plausible that lexico-syntactic information may be precisely the kind of abstracted, general, highly frequent information that should be preserved in SD.","The approach is then elaborated with particular regard to evidence from semantic dementia, a disorder resulting in relatively selective deterioration of conceptual knowledge, in which cognitive performance reveals ubiquitous effects of typicality.","['This paper begins with a brief description of a theoretical framework for semantic memory, in which processing is inherently sensitive to the varying typicality of its representations.']"
"Phonological errors were scarce in both groups. However, such relationships help business service firms to resist price pressures from their customers and add more value to their services over time. In contrast, closed class elements may be chosen once competition amongst grammatical features is resolved: in other words, competitive selection would apply to grammatical feature specifications but not to closed class elements (La Heij, Mak, Sander, & Willeboordse, 1998; Levelt et al., 1999; #CITATION_TAG; Schriefers, Jescheniak, & Hantsch, 2005).",,"['In this article, the author empirically examines the impact of long-term client relationships on the performance of business service firms.']"
"Phonological errors were scarce in both groups. questions in relationship marketing: why is relationship marketing so prominent now? Why do firms and consumers enter into relationships with other firms and consumers? Relationship marketing can take many forms and, as a result, relationship marketing theory has the potential to increase one's understanding of many aspects of business strategy.Research limitations/implications - The answ... In contrast, grammatical morphemes (both free and bound) are activated indirectly, via open class items, and they are intrinsic to the syntactic frame (Bock & Levelt, 1994; #CITATION_TAG; Garrett, 1984).",,"['Purpose - Drawing on resource-advantage theory and a diverse literature base, this article seeks to further the development of the explanatory foundations of relationship marketing theory by proposing, and then providing, tentative answers to three ""why?""']"
"Phonological errors were scarce in both groups. The grammatical relations of noun phrases in sentences are ordered in a hierar-chy that is reflected in a wide array of linguistic phenomena. An experiment on the formulation of sentences examined the relationship betweeen conceptual acces-sibility and grammatical relations for three levels in the hierarchy, the subject, direct object, and indirect object. There was a strong and systematic influence of conceptual accessibility on the surface syntactic structure of sentences. Converting thoughts into language requires that elements of the nonlinguistic conceptual system be mapped onto syntactic roles in sentences. The nature of the cognitive and communicative features encoded in th Lexico-semantic representations are assigned to particular roles (e.g. the agent of an action) according to a conceptual message; thus this assignment cannot be independent of conceptual-semantic content (#CITATION_TAG; Bock & Warren, 1985).",An experiment provides evidence that con-ceptual accessibility is linked to a hierarchy of grammatical relations that influences sentence formulation.,"['The hypothesis explored in this paper is that this hierarchy is related to the conceptual accessi-bility of the intended referents of noun phrases that commonly occur in particu-lar relational roles, with relations higher in the hierarchy typically occupied by noun phrases representing more accessible concepts.', 'In this paper we examine one aspect of this mapping process, arguing that an important factor in the assignment of conceptual elements to syntactic roles in the pro-duction of sentences is the ease of representing potential referents in thought, or their conceptual accessibility.']"
"Despite the established importance of buyer-seller relationships in B-to-B markets, research to determine the differential effects that keep suppliers and customers in a relationship has been scarce. Only with regard to relational tolerance and only for buyers do switching costs play a greater role than relationship value. Referring to transaction cost analysis, this study investigates how switching costs and relationship value as perceived by each side unfold their bonding forces in such a relationship. Over the last several decades, there has been an increasingly robust body of ethnographic research indicating that the sharing of meat is strongly linked to the fitness pursuits of individuals, where successful male hunters achieve various forms of prestige that ultimately lead to greater reproductive success. We argue that the effects of prestige hunting and other similar displays can be traced archaeologically in subsistence, settlement, and material culture profiles, and in the gender division of labor of even the simplest foraging societies--in this case Great Basin Middle Archaic (4500-1000 B.P.) The literature suggests that companies maintain relationship bonds either because ""they have to"", due to high switching costs, or because ""they want to"", because of high relationship value (Bendapudi & Berry, 1997; de Ruyter et al., 2001; #CITATION_TAG; Gounaris, 2005; Liu, 2006).","In contrast with optimal faraging and other efficiency models that attempt to account for such behaviors, we apply costly signaling theory to explain when foraging currencies shifted from calories to prestige among Great Basin foragers.","['The application of such an approach has the ability to integrate a series of disparate, subsistence- and non-subsistence-related observations regarding Great Basin lifeways and, in so doing, revise our traditional understanding of prehistoric culture change in this region.']"
"Despite the established importance of buyer-seller relationships in B-to-B markets, research to determine the differential effects that keep suppliers and customers in a relationship has been scarce. Only with regard to relational tolerance and only for buyers do switching costs play a greater role than relationship value. Referring to transaction cost analysis, this study investigates how switching costs and relationship value as perceived by each side unfold their bonding forces in such a relationship. What are the effects of subjectivity on employee pay satisfaction and firm performance? While many authors criticize TCA for failing to recognize that value creation rather than minimizing costs is the primary goal of business exchange (e.g. Anderson, 1995; Ghosh & John, 1999; #CITATION_TAG; Zajac & Olsen, 1993), others see TCA as a starting point for analyzing value creation between exchange partners.","We examine these questions using data from a sample of 526 department managers in 250 car dealerships. Specifically, use of subjective bonuses is positively related to: (1) the extent of long-term investments in intangibles; (2) the extent of organizational interdependencies; (3) the extent to which the achievability of the formula bonus target is both difficult and leads to significant consequences if not met; and (4) the presence of an operating loss.",['This study examines two questions: When do firms make greater use of subjectivity in awarding bonuses?']
"Despite the established importance of buyer-seller relationships in B-to-B markets, research to determine the differential effects that keep suppliers and customers in a relationship has been scarce. Only with regard to relational tolerance and only for buyers do switching costs play a greater role than relationship value. Referring to transaction cost analysis, this study investigates how switching costs and relationship value as perceived by each side unfold their bonding forces in such a relationship. The demand for aggregation in evaluating managerial performance arises because reporting all the basic transactions and other nonfinancial information about performance is costly and impracticable (see Ashton [1982], Casey [1978], and Holmstrom and Milgrom [1987]). A buyer generally tries to avoid dependence on a particular supplier (#CITATION_TAG) but companies today tend to trade in some of their independence against cost savings by having fewer, heavily bound, high value suppliers (Swift & Coe, 1994).","We identify necessary and sufficient conditions on the joint density function of the signals under which linear aggregation, a simple and commonly employed way to construct a performance evaluation measure, is optimal. This characterization suggests that the linear form of aggregation is optimal for a large class of situations. We interpret these weights in terms of statistical characteristics (sensitivity and precision) of the joint distribution of the signals.","['Focusing on performance measures that are linear aggregates enables us to determine the relative weights on the individual signals in the optimal linear aggregate, since these weights are invariant for all realizations of the signals.']"
"Despite the established importance of buyer-seller relationships in B-to-B markets, research to determine the differential effects that keep suppliers and customers in a relationship has been scarce. Only with regard to relational tolerance and only for buyers do switching costs play a greater role than relationship value. Referring to transaction cost analysis, this study investigates how switching costs and relationship value as perceived by each side unfold their bonding forces in such a relationship. For companies, the ability to create superior value to customers by forging stronger relationships with them is not only considered a perquisite for survival, but also as a way to increase profitability. Because of the sensitiveness of the information, the collected customer data is not published. However, due to the limitations of the research methodology, the argument that increased customer loyalty will lead to greater customer value cannot be researched to the full extent. Suppliers, on the other hand, try to stabilize their customer base because customer retention is less costly than customer acquisition (#CITATION_TAG).",The assessment was based on the analysis of the statistical relationship between customer loyalty and customer value within the Finnish market of the case company. This study was implemented as a quantitative research by using RFM-analysis to evaluate Finnish customers based on two variables; value and loyalty.,['The objective of this case study was to assess the feasibility of adopting a customer-relationship management strategy which focuses on the maximization of customer loyalty.']
"Despite the established importance of buyer-seller relationships in B-to-B markets, research to determine the differential effects that keep suppliers and customers in a relationship has been scarce. Only with regard to relational tolerance and only for buyers do switching costs play a greater role than relationship value. Referring to transaction cost analysis, this study investigates how switching costs and relationship value as perceived by each side unfold their bonding forces in such a relationship. To obtain sufficient variance for effective analysis, we randomly asked one half of the respondents to select a well-functioning relationship as the questionnaire subject and the other half a rather problematic one (for a similar procedure see #CITATION_TAG).","A necessary and sufficient condition for imperfect information to improve on contracts based on the payoff alone is derived, and a characterization of the optimal use of such information is given.",['The role of imperfect information in a principal-agent relationship subject to moral hazard is considered.']
"Despite the established importance of buyer-seller relationships in B-to-B markets, research to determine the differential effects that keep suppliers and customers in a relationship has been scarce. Only with regard to relational tolerance and only for buyers do switching costs play a greater role than relationship value. Referring to transaction cost analysis, this study investigates how switching costs and relationship value as perceived by each side unfold their bonding forces in such a relationship. Extant literature and suppliers interviewed for this study view a solution as a customized and integrated combination of goods and services for meeting a customer's business needs. In contrast, customers view a solution as a set of customer-supplier relational processes comprising (1) customer requirements definition, (2) customization and integration of goods and/or services and (3) their deployment, and (4) postdeployment customer support, all of which are aimed at meeting customers ' business needs. The relational process view can help suppliers deliver more effective solutions at profitable prices. Customer variables include adaptiveness to supplier offerings and political an This description also applies for suppliers: they generally try to leverage an existing relationship by cross-selling or offering new services (Davies et al., 2007), providing capital, information, and dedicated staff or adapting their production and logistics to customer demands (#CITATION_TAG).","Supplier variables include contingent hierarchy, documentation emphasis, incentive externality, customer interactor stability, and process articulation.",['This study draws on depth interviews with 49 managers in customer firms and 55 managers in supplier firms and on discussions with 21 managers in two focus groups to propose a new way of thinking about customer solutions.']
"Despite the established importance of buyer-seller relationships in B-to-B markets, research to determine the differential effects that keep suppliers and customers in a relationship has been scarce. Only with regard to relational tolerance and only for buyers do switching costs play a greater role than relationship value. Referring to transaction cost analysis, this study investigates how switching costs and relationship value as perceived by each side unfold their bonding forces in such a relationship. Many business customers today consolidate their supply bases and implement preferred supplier programs. Consequently, vendors increasingly face the alternative of either gaining a key supplier status with their customers or being pushed into the role of a backup supplier. As product and price become less important differentiators, suppliers of routinely purchased products search for new ways to differentiate themselves in a buyer-seller relationship. After validation of the measurement models we summated the items for each construct in line with Cannon and Homburg (2001) and #CITATION_TAG.","The authors identify service support and personal interaction as core differentiators, followed by a supplier's know-how and its ability to improve a customer's time to market.",['This research investigates avenues for differentiation through value creation in business-to-business relationships.']
"Despite the established importance of buyer-seller relationships in B-to-B markets, research to determine the differential effects that keep suppliers and customers in a relationship has been scarce. Only with regard to relational tolerance and only for buyers do switching costs play a greater role than relationship value. Referring to transaction cost analysis, this study investigates how switching costs and relationship value as perceived by each side unfold their bonding forces in such a relationship. Compensation can take many forms. Remuneration can come as pecuniary payments, as fringes such as health and pension benefits, or as a nonpecuniary reward such as plush office furniture that costs the firm less than it benefits the worker. A significant literature has examined the trade-offs between pecuniary and nonpecuniary compensation, the modern work having been pioneered by Rosen (1974). More recently, another body of literature has examined the selection of method of total compensation, ignoring the distinction between pecuniary and nonpecuniary payment. It has resulted in comparisons of compensation based on absolute output levels to that based on relative performance.' It has also led to explorations of the relation of compensation to experience over the work life.2 Little attention has been paid to what may be among the most important and obvious distinction in methods of compensation, namely, the choice between a fixed salary for some period of time, that is, paying on the basis of input and Some workers receive compensation that is specified in advance and not directly contingent on performance. Instead, it depends on an input measure, such as hours worked. For others, compensation is directly related to output. See Lazear and Rosen (1981), Stiglitz (1981), Holmstrom (1982), Green and Stokey (1983). See Lazear (1979, 1981) and Harris and Holmstrom (in press). Commitment occupies a central role in the study of successful relationships between firms (Gilliland & Bello, 2002; #CITATION_TAG; Hunt et al., 2006; Morgan & Hunt, 1994).","Piece rates are defined more rigorously. Among the more important factors discussed are worker heterogeneity, incentives, sorting considerations, monitoring costs, and asymmetric information.","['This work has focused on risk and incentive factors.', ""This essay is an attempt to predict a firm's choice of compensation method.""]"
"Despite the established importance of buyer-seller relationships in B-to-B markets, research to determine the differential effects that keep suppliers and customers in a relationship has been scarce. Only with regard to relational tolerance and only for buyers do switching costs play a greater role than relationship value. Referring to transaction cost analysis, this study investigates how switching costs and relationship value as perceived by each side unfold their bonding forces in such a relationship. Performance measurement is an essential part of the design of any incentive system. The strength and value of incentives in organizations are strongly affected by the performance measures available. Yet, the characteristics of valuable performance measures have not been well explored in the agency literature. I would like to thank Nancy Beaulieu, Bob Gibbons, Brian Hall, Ed Lazear, Sherwin Rosen, Jasjit Singh, Lars Stole, an anonymous referee, and participants at the NAS Conference on ""Designing Incentives for the Production of Human Capital"" for comments on this paper. While many authors criticize TCA for failing to recognize that value creation rather than minimizing costs is the primary goal of business exchange (e.g. #CITATION_TAG; Ghosh & John, 1999; Madhok & Tallman, 1998; Zajac & Olsen, 1993), others see TCA as a starting point for analyzing value creation between exchange partners.","In this paper, I use a multi-task model to develop a two-parameter characterization of performance measures and show how these two parameters--distortion and risk--affect the value and use of performance measures in incentive contracts. I also use this framework to analyze the provision of incentives in several specific environments, including R&D labs and non-profit organizations.",['This research was funded by the Harvard Business School Division of Research.']
"Despite the established importance of buyer-seller relationships in B-to-B markets, research to determine the differential effects that keep suppliers and customers in a relationship has been scarce. Only with regard to relational tolerance and only for buyers do switching costs play a greater role than relationship value. Referring to transaction cost analysis, this study investigates how switching costs and relationship value as perceived by each side unfold their bonding forces in such a relationship. Moreover, the factors influencing the use of specific measures vary, suggesting that the aggregate performance measure classifications commonly used in compensation research provide somewhat misleading inferences regarding performance measurement choices. We thus circumvented the problematic instability of factor scores across different sub-samples as well as the problems attached to measurement model invariance (#CITATION_TAG) when comparing different groups, such as buyers and sellers.",,['This study examines the determinants of performance measure choices in worker incentive plans.']
"Despite the established importance of buyer-seller relationships in B-to-B markets, research to determine the differential effects that keep suppliers and customers in a relationship has been scarce. Only with regard to relational tolerance and only for buyers do switching costs play a greater role than relationship value. Referring to transaction cost analysis, this study investigates how switching costs and relationship value as perceived by each side unfold their bonding forces in such a relationship. ThePennsylvania State University does not discriminate against anypersonbecause of age, ancestry, color, disability or handicap, national origin, race, religious creed, sex, sexual orientation, or veteran status. Direct all inquiries regarding the nondiscrimination policy to the Affirmative Action Director, thePennsylvania Stat For instance, #CITATION_TAG shows that service providers with a relational approach to their customers deliver superior value and achieve greater financial returns than firms with a transactional approach.",,"['ThePennsylvania State University is committed to thepolicy that all persons shall have equal access to programs, facilities, admission, and employment Without regard to personal characteristics not related to ability, performance, or qualifications as determined by University policy or by state or federal authorities.']"
"Despite the established importance of buyer-seller relationships in B-to-B markets, research to determine the differential effects that keep suppliers and customers in a relationship has been scarce. Only with regard to relational tolerance and only for buyers do switching costs play a greater role than relationship value. Referring to transaction cost analysis, this study investigates how switching costs and relationship value as perceived by each side unfold their bonding forces in such a relationship. Objective measures of performance are seldom perfect. In response, incentive contracts often include important subjective components that mitigate incentive distortions caused by imperfect objective measures. Naturally, objective and subjective measures often are substitutes, sometimes strikingly so: we show that if objective measures are sufficiently close to perfect then no implicit contracts are feasible (because the firm's fallback position after reneging on an implicit contact is too attractive). Overall, interfirm cooperation in buyer-seller relationships is associated with a number of positive economic and non-economic outcomes (Anderson et al., 1994; #CITATION_TAG).",,['This paper explores the combined use of subjective and objective performance measures in (respectively) implicit and explicit incentive contracts.']
"Despite the established importance of buyer-seller relationships in B-to-B markets, research to determine the differential effects that keep suppliers and customers in a relationship has been scarce. Only with regard to relational tolerance and only for buyers do switching costs play a greater role than relationship value. Referring to transaction cost analysis, this study investigates how switching costs and relationship value as perceived by each side unfold their bonding forces in such a relationship. Do organizations plan precisely how the job is to be done ex ante, or ask workers to determine the process as they go? As predicted, job designs tend to be ""coherent"" across these attributes within the same job. Job designs also tend to follow similar patterns across jobs in the same firm, and especially in the same establishment: when one job is optimized ex ante, others are more likely to be also. There is evidence that firms segregate different types of job designs across different establishments. At the industry level, both computer usage and R&D spending are related to job design decisions. According to prospect theory, losses loom larger than gains of the same (monetary) amount (#CITATION_TAG).","We first model this decision and predict complementarity among these following job attributes: multitasking, discretion, skills, and interdependence of tasks. We argue that characteristics of the firm and industry (e.g., product and technology, organizational change) can explain observed patterns and trends in job design. We then use novel data on these job attributes to examine these issues.",['In this chapter we study job design.']
"The developments in archaeology are part of broader trends in anthropology and psychology and are characterized by the same theoretical disagreements. There are two distinct research traditions: one centered on cultural transmission and dual inheritance theory and the other on human behavioral ecology. Islands in Oceania were some of the last habitable land masses on earth to be colonized by humans. Current archaeological evidence suggests that these islands were colonized episodically rather than continuously, and that bursts of migration were followed by longer periods of sedentism and population growth. The decision to colonize isolated, unoccupied islands and archipelagos was complex and dependent on a variety of social, technological and environmental variables. Unique among existing models, it can account for the episodic nature of certain aspects of the colonization process. We argue that intensive food production was one variable that contributed to decreasing suitability of island habitats, stimulating dispersal, and ultimately migrations to more distant islands in Oceania. One example that has entered the literature is costly signaling theory, as described above; other studies, more wide-ranging in their use of HBE theory, have begun to appear (e.g., Fitzhugh 2003, #CITATION_TAG.",This ecological model provides a framework that considers the dynamic character of island suitability along with density-dependent and density-independent variables influencing migratory behavior.,"['In this chapter we develop an integrative, multivariate approach to island colonization in Oceania based on a model from behavioral ecology known as the Ideal Free Distribution.']"
"The developments in archaeology are part of broader trends in anthropology and psychology and are characterized by the same theoretical disagreements. There are two distinct research traditions: one centered on cultural transmission and dual inheritance theory and the other on human behavioral ecology. The term ""tipping point"" commonly refers to a critical threshold at which a tiny perturbation can qualitatively alter the state or development of a system. Moreover, not all the traits that characterize a complex object or entity will have had a common history (#CITATION_TAG).","An expert elicitation is used to help rank their sensitivity to global warming and the uncertainty about the underlying physical mechanisms. Then we explain how, in principle, early warning systems could be established to detect the proximity of some tipping points.","['Here we introduce the term ""tipping element"" to describe large-scale components of the Earth system that may pass a tipping point.']"
"The developments in archaeology are part of broader trends in anthropology and psychology and are characterized by the same theoretical disagreements. There are two distinct research traditions: one centered on cultural transmission and dual inheritance theory and the other on human behavioral ecology. A critical issue in climate-change economics is the specification of the so-called ""damages function"" and its interaction with the unknown uncertainty of catastrophic outcomes. This is a very well-known technique with a long history and involves putting phenomena in a linear order on the basis of some measure of their similarity to one another (#CITATION_TAG, O'Brien & Lyman 2000.","In these examples, the primary reason for keeping GHG levels down is to insure against high-temperature catastrophic climate risks.",['This paper asks how much we might be misled by our economic assessment of climate change when we employ a conventional quadratic damages function and/or a thin-tailed probability distribution for extreme temperatures.']
"The developments in archaeology are part of broader trends in anthropology and psychology and are characterized by the same theoretical disagreements. There are two distinct research traditions: one centered on cultural transmission and dual inheritance theory and the other on human behavioral ecology. A Climate Change Damage Function (CCDF) is a reduced form relationship linking macroeconomic aggregates (e.g., potential GDP) to climate indicators (e.g., average temperature levels). This function is used in a variety of studies about climate change impacts and policy analysis. However, despite the fact that this function is key in determining results in many integrated assessment models, it is not typically calibrated in a consistent and rigorous way. The developments in archaeology are part of broader trends in anthropology and psychology more generally (see e.g., #CITATION_TAG, Cronk et al. 2000, Dunbar & Barrett 2007, Durham 1991, Smith & Winterhalder 1992b, Sperber 1996, but the types of data dealt with by archaeologists and the diachronic questions they generally address have led to an emphasis on some theoretical perspectives rather than others and to the development of specifically archaeological methodologies for obtaining information relevant to testing evolutionary hypotheses.",,"['This paper presents a novel approach, in which several different impacts of climate change are first assessed by means of a full-fledged computable general equilibrium model of the world economy, then results are interpolated to get a simple relationship of the CCDF type.']"
"The developments in archaeology are part of broader trends in anthropology and psychology and are characterized by the same theoretical disagreements. There are two distinct research traditions: one centered on cultural transmission and dual inheritance theory and the other on human behavioral ecology. Despite great progress in identifying genetic variants that influence human disease, most inherited risk remains unexplained. Neiman's original case study indicated that patterning in the rim attributes of eastern North American Woodland period pottery was a result of drift, but Shennan & Wilkinson (2001) showed that patterning in the frequency of decorative attributes of early Neolithic pottery from a small region of Germany indicated a pronovelty bias in the later periods and #CITATION_TAG in a case study from the U.S. Southwest were able to show a departure in the direction of conformity.","A more complete understanding requires genome-wide studies that fully examine less common alleles in populations with a wide range of ancestry. To inform the design and interpretation of such studies, we genotyped 1.6 million common single nucleotide polymorphisms (SNPs) in 1,184 reference individuals from 11 global populations, and sequenced ten 100-kilobase regions in 692 of these individuals. This integrated data set of common and rare alleles, called 'HapMap 3', includes both SNPs and copy number polymorphisms (CNPs). We characterized population-specific differences among low-frequency variants, measured the improvement in imputation accuracy afforded by the larger reference panel, especially in imputing SNPs with a minor allele frequency of <=5%, and demonstrated the feasibility of imputing newly discovered CNPs and SNPs.","['This expanded public resource of genome variants in global populations supports deeper interrogation of genomic variation and its role in human disease, and serves as a step towards a high-resolution map of the landscape of human genetic variation.']"
"The developments in archaeology are part of broader trends in anthropology and psychology and are characterized by the same theoretical disagreements. There are two distinct research traditions: one centered on cultural transmission and dual inheritance theory and the other on human behavioral ecology. Word representation is a means of representing a word as mathematical entities that can be read, reasoned and manipulated by computational models. The representation is required for input to any new modern data models and in many cases, the accuracy of a model depends on it. Because animal body size is correlated with handling costs and is readily assessable using archaeological faunal data, the proportion of large-bodied vs. small-bodied animal bones has very frequently been used as a diet-breadth measure (e.g., Broughton 1994; see also Ugan 2005; for within-species size variation see, e.g., #CITATION_TAG).","In this paper, we analyze various methods of calculating vector space for Nepali words and postulate a word to vector model based on the Skip-gram model with NCE loss capturing syntactic and semantic word relationships.",['This is an attempt to implement a paper by Mikolov on Nepali words.']
"Part 1 signposts classic work from cultural/media studies, marketing and sociology, which has been centrally concerned with meanings of popular culture designed for children and young people (e.g. via critiques of the gendered content of iconic popular cultural phenomena). Halfway through the paper is a 'commercial break'. With reference to a specific popular cultural artefact (the Toys 'Ia' Us Christmas toy catalogue), I argue that both meanings and matterings are crucial for geographers engaging with children and young people's popular cultures. This paper calls for more direct, careful, sustained research on geographies of children, young people and popular culture. I present three sets of empirical and conceptual resources for researchers developing work in this area. I argue that these conceptualisations can extend and unsettle classic work on popular culture, by questioning how popular cultural texts, objects and phenomena matter. Here, I present some personal ref lections on working at the intersection between the ideas discussed in Parts 1 and 2. Systematic reviews underpin Evidence Based Medicine (EBM) by addressing precise clinical questions via comprehensive synthesis of all relevant published evidence. Authors of systematic reviews typically define a Population/Problem, Intervention, Comparator, and Outcome (a PICO criteria) of interest, and then retrieve, appraise and synthesize results from all reports of clinical trials that meet these criteria. Identifying PICO elements in the full-texts of trial reports is thus a critical yet time-consuming step in the systematic review process. Collecting a large corpus of training data for this task would be prohibitively expensive. However, we have access only to unstructured, free-text summaries of PICO elements for corresponding articles; we must derive from these the desired sentence-level annotations. Many key studies have highlighted the sophisticated, globalised and aggressive corporate systems of cultural production, marketing and commodification, which have constituted a distinctive 'child market' for popular cultural products (Seiter 1992, McNeal 1992, #CITATION_TAG, Roedder 1999, Cook 2004.","Therefore, we derive distant supervision (DS) with which to train models using previously conducted reviews. DS entails heuristically deriving 'soft' labels from an available structured resource. To this end, we propose a novel method - supervised distant supervision (SDS) - that uses a small amount of direct supervision to better exploit a large corpus of distantly labeled instances by learning to pseudo-annotate articles using the available DS. We show that this approach tends to outperform existing methods with respect to automated PICO extraction.",['We seek to expedite evidence synthesis by developing machine learning models to automatically extract sentences from articles relevant to PICO elements.']
"Part 1 signposts classic work from cultural/media studies, marketing and sociology, which has been centrally concerned with meanings of popular culture designed for children and young people (e.g. via critiques of the gendered content of iconic popular cultural phenomena). Halfway through the paper is a 'commercial break'. With reference to a specific popular cultural artefact (the Toys 'Ia' Us Christmas toy catalogue), I argue that both meanings and matterings are crucial for geographers engaging with children and young people's popular cultures. This paper calls for more direct, careful, sustained research on geographies of children, young people and popular culture. I present three sets of empirical and conceptual resources for researchers developing work in this area. I argue that these conceptualisations can extend and unsettle classic work on popular culture, by questioning how popular cultural texts, objects and phenomena matter. Here, I present some personal ref lections on working at the intersection between the ideas discussed in Parts 1 and 2. Perhaps most inf luentially, a great deal of research within Anglo-American cultural/media studies, marketing and sociology has considered the way in which children and young people have increasingly been targeted as a market segment within contemporary consumer capitalism (#CITATION_TAG, Steinberg and Kincheloe 1997, Gunter and Furnham 1998, Langer 2002, Marshall 2010.","We develop a novel distant supervised model that integrates the results from open information extraction techniques to perform relation extraction task from biomedical literature. Unlike state-of-the-art models for relation extraction in biomedical domain which are mainly based on supervised methods, our approach does not require manually-labeled instances. In addition, our model incorporates a grouping strategy to take into consideration the coordinating structure among entities co-occurred in one sentence.",['We apply our approach to extract gene expression relationship between genes and brain regions from literature.']
